id,bishop_config,num_entries,bytes,num_win_pos,num_draw_pos,num_loss_pos,num_win_ix,num_draw_ix,num_loss_ix,num_broken_ix,fen,dtm,line
KBBK,B20v00,789885,120022,0,2577900,0,0,322534,0,67742,,,
KBBK,B11v00,789885,120022,2503608,520,0,312951,65,0,86593,8/8/8/8/7B/8/3k4/K2B4 w - - ,37,d1b3 d2e3 b3c2 e3d4 h4f2 d4e5 a1b2 e5f6 b2c3 f6e5 f2e3 e5f6 c3d4 f6e6 e3f4 e6e7 c2f5 e7f6 d4e4 f6g7 e4e5 g7f7 f4g5 f7g8 e5e6 g8g7 e6e7 g7h8 g5h6 h8g8 e7f6 g8h8 f6g6 h8g8 f5e6 g8h8 h6g7 
KKBB,B00v20,873642,144394,0,3360948,0,0,420570,0,9324,,,
KKBB,B00v11,873642,144394,0,655304,2814040,0,81913,351755,10080,,,
KBKB,B10v10,1661823,1202,0,5858992,0,0,732514,0,85952,,,
KBKB,B10v01,1661823,1202,416,5972944,112,52,746618,14,96673,8/8/8/8/8/8/b7/k1K1B3 w - - ,1,e1c3 
KBBBK,B30v00,15010230,1952662,0,22793204,0,0,2849354,0,769678,,,
KBBBK,B21v00,15010230,1952662,64713920,7136,0,8089520,892,0,3300786,8/8/8/3B4/3B4/3k4/3B4/3K4 w - - ,31,d5a2 d3d4 d1e2 d4e5 e2d3 e5f6 d3e4 f6e7 d2b4 e7d7 a2d5 d7e8 d5c6 e8d8 b4d6 d8c8 e4d4 c8d8 d4c5 d8c8 c5b6 c8d8 c6b5 d8c8 d6e7 c8b8 b5a6 b8a8 a6b7 a8b8 e7d6 
KKBBB,B00v30,17472840,3778841,0,32525520,0,0,4066656,0,93744,,,
KKBBB,B00v21,17472840,3778841,0,10633052,93447268,0,1329389,11681659,301392,,,
KQBBK,B20v00,43879680,5123768,102083092,0,0,12760891,0,0,8918138,3Q1B2/8/3K4/8/8/B7/8/6k1 w - - ,11,a3c1 g1f1 d8h4 f1g2 d6d5 g2f1 c1e3 f1g2 d5e4 g2f1 h4f2 
KQBBK,B11v00,43879680,5123768,99239936,0,0,12404992,0,0,9795659,8/8/8/8/3k1K1Q/8/7B/7B w - - ,11,h1g2 d4c3 f4e3 c3b3 g2d5 b3c3 d5a2 c3b2 h4c4 b2a1 h2e5 
KBBNK,B20v00,44983620,11641869,143233572,45588,0,17905976,5740,0,4312730,8/8/8/8/8/B7/5Bk1/K6N w - - ,65,h1g3 g2f2 g3e4 f2e2 e4c3 e2f2 a3c1 f2g3 a1a2 g3f2 a2b1 f2e1 c1e3 e1f1 b1c2 f1g2 c3e2 g2h3 c2d3 h3h2 e2f4 h2g3 d3e4 g3h4 f4e2 h4h3 e4f3 h3h2 e2g3 h2h3 e3g1 h3h4 g3e4 h4h5 g1d4 h5h4 d4e5 h4h3 e4f2 h3h4 e5f6 h4h5 f3f4 h5g6 f2e4 g6f7 f4f5 f7e8 f5e6 e8f8 e4g3 f8g8 e6e7 g8h7 e7f7 h7h6 f6e7 h6h7 g3f5 h7h8 f7g6 h8g8 f5h6 g8h8 e7f6 
